sample,gene,n_isoforms,n_spots,expressing_spots,total_counts,hsic_ir,pvalue,log10_pval
MGH258,VCAN,3,2212,1300,2544,9.565020646015444e-05,0.6167593870961954,-0.2098842318130065
ZH1007inf,VCAN,8,1400,766,1282,0.0002636850420005,0.000581196539211,-3.235676980413273
ZH1007nec,VCAN,7,952,547,936,0.0004009177538097,0.0002989700960726,-3.52437224900034
ZH1019T1,VCAN,7,1109,1028,3637,0.0005406697626415,3.6518686955863016e-19,-18.4374848460905
ZH1019inf,VCAN,10,1481,1048,2684,0.0003222239870234,4.579759718550435e-12,-11.339157307071478
ZH8811Abulk,VCAN,3,2383,1899,8333,9.29175566377388e-05,0.0401300463647841,-1.3965303384979506
ZH8811Bbulk,VCAN,3,2528,1946,9946,7.399856531599355e-05,0.2246471058190343,-0.6484991721518356
ZH8812bulk,VCAN,5,2049,992,1630,0.000116432204821,0.6763556241410024,-0.1698248943074495
ZH881T1,VCAN,4,2770,2088,5164,0.0001097726674399,0.020915549563275,-1.6795307196962042
ZH881inf,VCAN,4,1044,224,292,0.000106613995739,0.8568583607158756,-0.0670909613245496
ZH916T1,VCAN,3,2491,1595,4126,9.606721677800706e-05,0.043923740917912,-1.357300678785205
ZH916bulk,VCAN,4,2058,1164,3277,0.0001072081911599,0.0263703431169992,-1.578884219359013
ZH916inf,VCAN,7,881,287,422,0.0002342593856031,0.3307075812919494,-0.4805558490067099
