gene,min_pval_ir,mean_pval_ir,min_pval_gc,mean_pval_gc,min_pval_ic,mean_pval_ic,n_samples,n_sig_ir,n_sig_gc,n_sig_ic
AGT,1.8282831637269068e-10,0.15612270727902608,4.050344350525785e-298,0.001301795270920571,2.5896235718041016e-265,0.0003059129498428037,8,5,8,8
APP,2.5030475181553176e-32,0.10707039617738588,7.57888006946967e-98,0.008509297599847086,5.313154100421152e-56,0.050540661875244024,7,4,6,5
C3,3.21541208821464e-41,0.13178480907920345,4.290257967561432e-138,8.194922693261336e-05,8.18851529012305e-186,0.038586258997726275,11,8,11,10
CCL2,0.6845636255965448,0.6845636255965448,7.767396706470726e-12,7.767396706470726e-12,5.448423264764499e-14,5.448423264764499e-14,1,0,1,1
CLU,1.728955039491432e-05,1.728955039491432e-05,0.0001126987183415165,0.0001126987183415165,0.012598989186310349,0.012598989186310349,1,1,1,1
COL1A2,1.129690982230719e-12,0.3864285939164296,1e-300,1.215651803250998e-06,1.6588161045935798e-63,0.16402758157087957,11,2,11,7
COL3A1,0.07165121235985587,0.41087782396874695,1e-300,6.642119550649299e-05,0.00017097647135999697,0.25391441800468234,11,0,11,5
CTSB,2.957587005850281e-14,0.2136420245465576,3.809611840337223e-114,9.082062638079138e-06,9.368412880339401e-93,6.030618772420412e-10,3,2,3,3
DKK3,3.1032357334859704e-05,0.4202999509233992,9.544138376222207e-103,0.003627142996661679,3.57991587847914e-57,0.0007287112599666859,10,4,10,10
EDIL3,0.001686681247668141,0.1343455959878325,1.1311258521367255e-07,1.3846496953364508e-06,1.0146149413722759e-11,1.3903417371078466e-09,2,1,2,2
HMGB1,3.884575674700966e-62,0.051726241267505815,1.8162244165956306e-99,0.00016211942843287705,7.558483194793885e-104,9.827101502139642e-05,13,11,13,13
IGFBP5,8.448269544703842e-12,0.012785152298430016,1.78999202907249e-130,1.3814408684525444e-05,1.6326759219572238e-212,5.0432600381628415e-08,6,5,6,6
ITM2B,1.6377031978757962e-12,0.03074401200973782,5.465455445514326e-173,2.0804622356017896e-05,1.9190922903742702e-45,0.0044000791198317004,11,8,11,11
LGALS3,0.33415680355610733,0.33415680355610733,0.0014917033897481446,0.0014917033897481446,0.017911192676656855,0.017911192676656855,1,0,1,1
MIF,0.0016447998485741018,0.0016447998485741018,4.138868259596958e-15,4.138868259596958e-15,4.002081379757427e-05,4.002081379757427e-05,1,1,1,1
NCAM1,2.0768621581481827e-54,0.03816752219999868,6.454598288769687e-89,0.04859115390930698,2.1784244246248242e-66,0.007981743252751295,13,11,12,12
SERPINE1,1.5411379850731076e-42,0.14889139836562063,1e-300,2.8216339077818197e-05,1e-300,0.04950849755726147,12,8,12,8
SERPINE2,4.521275771818597e-55,0.07172366862888864,5.095984203115094e-78,0.030080919486095675,1.2119256721725953e-65,0.019137946561989642,12,9,10,10
SPARC,2.1847666053055565e-121,0.10738365006714284,2.3916896583068777e-257,1.743439056200153e-11,1.1474252931167768e-163,1.8662998417307364e-06,13,9,13,13
SPARCL1,0.20580070137197132,0.20580070137197132,0.029685088907469646,0.029685088907469646,0.0026680575568290192,0.0026680575568290192,1,0,1,1
SPP1,5.141005726312005e-124,0.002848756855514494,1e-300,6.751763354354003e-16,1.117621714883677e-117,9.382956692321005e-06,11,11,11,11
TIMP2,2.4555805642460237e-06,0.18790404528327842,1.0494519557944229e-46,0.08630248276712507,1.0825318588899409e-10,0.16083727367750286,11,6,8,7
VCAN,1.0745084507184765e-18,0.20099292585880993,1.594634265760645e-165,0.0011736296779454455,2.24125966376361e-58,0.03125564623425573,13,7,13,11
